Massa;Periodtid;Grupp;Perioder
100;0.720;1;1
100;0.810;1;1
100;0.780;1;1
100;0.790;1;1
100;0.770;1;1
100;0.770;1;1
100;0.750;1;1
100;0.810;1;1
100;0.760;1;1
100;0.790;1;1
150;0.830;1;1
150;0.920;1;1
150;0.870;1;1
150;0.800;1;1
150;0.880;1;1
150;0.830;1;1
150;0.750;1;1
150;0.860;1;1
150;0.890;1;1
150;0.930;1;1
200;1.200;1;1
200;1.100;1;1
200;1.100;1;1
200;1.120;1;1
200;1.100;1;1
200;1.150;1;1
200;1.130;1;1
200;1.120;1;1
200;1.150;1;1
200;1.130;1;1
250;1.250;1;1
250;1.300;1;1
250;1.300;1;1
250;1.290;1;1
250;1.270;1;1
250;1.260;1;1
250;1.300;1;1
250;1.280;1;1
250;1.270;1;1
250;1.270;1;1
300;1.300;1;1
300;1.330;1;1
300;1.400;1;1
300;1.510;1;1
300;1.520;1;1
300;1.530;1;1
300;1.640;1;1
300;1.680;1;1
300;1.720;1;1
300;1.730;1;1
100;0.809;1;10
100;0.811;1;10
100;0.812;1;10
100;0.812;1;10
100;0.808;1;10
100;0.808;1;10
100;0.813;1;10
100;0.812;1;10
100;0.814;1;10
100;0.811;1;10
150;1.002;1;10
150;0.996;1;10
150;0.983;1;10
150;0.982;1;10
150;0.996;1;10
150;0.986;1;10
150;0.996;1;10
150;0.994;1;10
150;0.996;1;10
150;0.999;1;10
200;1.033;1;10
200;1.037;1;10
200;1.037;1;10
200;1.023;1;10
200;1.030;1;10
200;1.028;1;10
200;1.033;1;10
200;1.033;1;10
200;1.028;1;10
200;1.032;1;10
250;1.279;1;10
250;1.291;1;10
250;1.290;1;10
250;1.287;1;10
250;1.290;1;10
250;1.284;1;10
250;1.296;1;10
250;1.281;1;10
250;1.283;1;10
250;1.297;1;10
300;1.387;1;10
300;1.388;1;10
300;1.410;1;10
300;1.420;1;10
300;1.420;1;10
300;1.422;1;10
300;1.427;1;10
300;1.435;1;10
300;1.440;1;10
300;1.477;1;10
100;0.830;2;1
100;0.880;2;1
100;0.870;2;1
100;0.850;2;1
100;0.830;2;1
100;0.790;2;1
100;0.830;2;1
100;0.830;2;1
100;0.830;2;1
100;0.770;2;1
150;0.970;2;1
150;0.960;2;1
150;1.000;2;1
150;1.030;2;1
150;1.000;2;1
150;0.970;2;1
150;0.930;2;1
150;0.920;2;1
150;0.970;2;1
150;0.950;2;1
200;1.190;2;1
200;1.110;2;1
200;1.170;2;1
200;1.120;2;1
200;1.130;2;1
200;1.190;2;1
200;1.180;2;1
200;1.110;2;1
200;1.160;2;1
200;1.130;2;1
250;1.280;2;1
250;1.230;2;1
250;1.310;2;1
250;1.270;2;1
250;1.290;2;1
250;1.230;2;1
250;1.300;2;1
250;1.230;2;1
250;1.300;2;1
250;1.260;2;1
300;1.320;2;1
300;1.450;2;1
300;1.340;2;1
300;1.410;2;1
300;1.480;2;1
300;1.370;2;1
300;1.390;2;1
300;1.410;2;1
300;1.370;2;1
300;1.510;2;1
100;0.812;2;10
100;0.817;2;10
100;0.816;2;10
100;0.810;2;10
100;0.815;2;10
100;0.806;2;10
100;0.808;2;10
100;0.808;2;10
100;0.810;2;10
100;0.817;2;10
150;0.989;2;10
150;0.990;2;10
150;0.995;2;10
150;0.992;2;10
150;0.997;2;10
150;0.982;2;10
150;0.997;2;10
150;0.997;2;10
150;0.995;2;10
150;0.994;2;10
200;1.145;2;10
200;1.150;2;10
200;1.148;2;10
200;1.149;2;10
200;1.138;2;10
200;1.152;2;10
200;1.135;2;10
200;1.153;2;10
200;1.150;2;10
200;1.143;2;10
250;1.289;2;10
250;1.296;2;10
250;1.296;2;10
250;1.286;2;10
250;1.294;2;10
250;1.291;2;10
250;1.294;2;10
250;1.289;2;10
250;1.286;2;10
250;1.289;2;10
300;1.408;2;10
300;1.405;2;10
300;1.406;2;10
300;1.406;2;10
300;1.398;2;10
300;1.408;2;10
300;1.413;2;10
300;1.421;2;10
300;1.403;2;10
300;1.400;2;10
100;0.850;3;1
100;0.830;3;1
100;0.850;3;1
100;0.840;3;1
100;0.830;3;1
100;0.870;3;1
100;0.840;3;1
100;0.880;3;1
100;0.850;3;1
100;0.870;3;1
150;0.990;3;1
150;0.990;3;1
150;1.030;3;1
150;1.040;3;1
150;1.060;3;1
150;1.030;3;1
150;1.030;3;1
150;1.030;3;1
150;1.020;3;1
150;1.000;3;1
200;1.080;3;1
200;1.200;3;1
200;1.170;3;1
200;1.210;3;1
200;1.170;3;1
200;1.190;3;1
200;1.220;3;1
200;1.170;3;1
200;1.190;3;1
200;1.190;3;1
250;1.300;3;1
250;1.300;3;1
250;1.260;3;1
250;1.320;3;1
250;1.310;3;1
250;1.270;3;1
250;1.290;3;1
250;1.330;3;1
250;1.300;3;1
250;1.340;3;1
300;1.400;3;1
300;1.360;3;1
300;1.530;3;1
300;1.600;3;1
300;1.500;3;1
300;1.550;3;1
300;1.540;3;1
300;1.570;3;1
300;1.480;3;1
300;1.440;3;1
100;0.818;3;10
100;0.813;3;10
100;0.817;3;10
100;0.811;3;10
100;0.813;3;10
100;0.821;3;10
100;0.814;3;10
100;0.810;3;10
100;0.813;3;10
100;0.812;3;10
150;1.060;3;10
150;0.996;3;10
150;0.992;3;10
150;0.994;3;10
150;0.994;3;10
150;0.994;3;10
150;0.995;3;10
150;0.998;3;10
150;0.995;3;10
150;0.995;3;10
200;1.153;3;10
200;1.147;3;10
200;1.146;3;10
200;1.148;3;10
200;1.150;3;10
200;1.154;3;10
200;1.158;3;10
200;1.158;3;10
200;1.147;3;10
200;1.156;3;10
250;1.324;3;10
250;1.287;3;10
250;1.288;3;10
250;1.290;3;10
250;1.286;3;10
250;1.282;3;10
250;1.288;3;10
250;1.292;3;10
250;1.283;3;10
250;1.281;3;10
300;1.340;3;10
300;1.346;3;10
300;1.337;3;10
300;1.340;3;10
300;1.340;3;10
300;1.338;3;10
300;1.347;3;10
300;1.348;3;10
300;1.340;3;10
300;1.347;3;10
100;0.800;4;1
100;0.810;4;1
100;0.810;4;1
100;0.810;4;1
100;0.800;4;1
100;0.830;4;1
100;0.800;4;1
100;0.790;4;1
100;0.730;4;1
100;0.800;4;1
150;1.020;4;1
150;0.950;4;1
150;1.030;4;1
150;1.030;4;1
150;1.070;4;1
150;1.030;4;1
150;1.080;4;1
150;1.030;4;1
150;1.030;4;1
150;1.050;4;1
200;1.070;4;1
200;1.220;4;1
200;1.120;4;1
200;1.170;4;1
200;1.130;4;1
200;1.180;4;1
200;1.120;4;1
200;1.150;4;1
200;1.140;4;1
200;1.230;4;1
250;1.300;4;1
250;1.330;4;1
250;1.270;4;1
250;1.320;4;1
250;1.330;4;1
250;1.300;4;1
250;1.320;4;1
250;1.320;4;1
250;1.300;4;1
250;1.270;4;1
300;1.380;4;1
300;1.430;4;1
300;1.370;4;1
300;1.370;4;1
300;1.370;4;1
300;1.320;4;1
300;1.420;4;1
300;1.380;4;1
300;1.380;4;1
300;1.380;4;1
100;0.811;4;10
100;0.812;4;10
100;0.805;4;10
100;0.803;4;10
100;0.815;4;10
100;0.818;4;10
100;0.812;4;10
100;0.816;4;10
100;0.812;4;10
100;0.812;4;10
150;1.050;4;10
150;0.983;4;10
150;1.005;4;10
150;0.993;4;10
150;0.983;4;10
150;0.985;4;10
150;0.995;4;10
150;0.993;4;10
150;0.988;4;10
150;0.983;4;10
200;1.138;4;10
200;1.032;4;10
200;1.150;4;10
200;1.147;4;10
200;1.155;4;10
200;1.167;4;10
200;1.027;4;10
200;1.145;4;10
200;1.147;4;10
200;1.136;4;10
250;1.265;4;10
250;1.280;4;10
250;1.277;4;10
250;1.282;4;10
250;1.291;4;10
250;1.283;4;10
250;1.288;4;10
250;1.273;4;10
250;1.280;4;10
250;1.270;4;10
300;1.400;4;10
300;1.387;4;10
300;1.406;4;10
300;1.393;4;10
300;1.392;4;10
300;1.397;4;10
300;1.392;4;10
300;1.402;4;10
300;1.402;4;10
300;1.400;4;10
100;0.810;5;1
100;0.820;5;1
100;0.820;5;1
100;0.790;5;1
100;0.790;5;1
100;0.850;5;1
100;0.870;5;1
100;0.840;5;1
100;0.870;5;1
100;0.860;5;1
150;0.990;5;1
150;1.000;5;1
150;0.970;5;1
150;0.990;5;1
150;1.010;5;1
150;1.010;5;1
150;1.030;5;1
150;1.000;5;1
150;1.030;5;1
150;1.030;5;1
200;1.150;5;1
200;1.140;5;1
200;1.110;5;1
200;1.160;5;1
200;1.120;5;1
200;1.140;5;1
200;1.160;5;1
200;1.150;5;1
200;1.150;5;1
200;1.130;5;1
250;1.280;5;1
250;1.290;5;1
250;1.280;5;1
250;1.270;5;1
250;1.270;5;1
250;1.290;5;1
250;1.280;5;1
250;1.280;5;1
250;1.290;5;1
250;1.270;5;1
300;1.320;5;1
300;1.270;5;1
300;1.330;5;1
300;1.350;5;1
300;1.360;5;1
300;1.320;5;1
300;1.380;5;1
300;1.340;5;1
300;1.340;5;1
300;1.320;5;1
100;0.811;5;10
100;0.817;5;10
100;0.810;5;10
100;0.812;5;10
100;0.811;5;10
100;0.824;5;10
100;0.810;5;10
100;0.823;5;10
100;0.802;5;10
100;0.806;5;10
150;0.996;5;10
150;0.997;5;10
150;0.994;5;10
150;0.997;5;10
150;0.994;5;10
150;0.996;5;10
150;0.998;5;10
150;0.996;5;10
150;0.999;5;10
150;0.997;5;10
200;1.148;5;10
200;1.148;5;10
200;1.147;5;10
200;1.147;5;10
200;1.148;5;10
200;1.149;5;10
200;1.146;5;10
200;1.149;5;10
200;1.145;5;10
200;1.148;5;10
250;1.287;5;10
250;1.284;5;10
250;1.291;5;10
250;1.284;5;10
250;1.285;5;10
250;1.288;5;10
250;1.285;5;10
250;1.287;5;10
250;1.287;5;10
250;1.287;5;10
300;1.409;5;10
300;1.403;5;10
300;1.407;5;10
300;1.405;5;10
300;1.408;5;10
300;1.404;5;10
300;1.408;5;10
300;1.405;5;10
300;1.407;5;10
300;1.409;5;10
100;0.800;6;1
100;0.730;6;1
